,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,t-SNE Component 1,t-SNE Component 2
280,nm5938541,Lorraine Barrett,\N,\N,,tt2125666,25.167152,-16.846392
281,nm14597253,Herry,\N,\N,art_department,"tt26863324,tt27094778",-12.863186,-57.74005
282,nm2134234,David Earnest,\N,\N,"composer,music_department,soundtrack","tt0211212,tt0260530,tt0217402,tt0209893",-47.7292,-19.676178
283,nm13935425,T Saikiran,\N,\N,writer,tt21742496,54.83116,7.720747
284,nm7953637,James Paul Hathorn,\N,\N,actor,tt5500776,-24.66619,-19.501898
285,nm13581133,Anton Hroshovyy,\N,\N,stunts,tt9109206,53.56908,31.710196
286,nm11938357,Renee Diment,\N,\N,actress,tt0098911,3.5377426,12.5019
287,nm8332497,Adriana Manago,\N,\N,producer,tt0421311,-24.32592,66.91797
288,nm3849885,Stewart MacGregor,\N,\N,"cinematographer,editor,writer","tt1621850,tt5140152,tt1961333,tt7063376",-28.303,13.333819
289,nm10736970,Lucas Lawler,\N,\N,actor,tt10426208,-39.37219,46.059658
290,nm12298415,Taya Slaughter-Valentine,\N,\N,,\N,31.142326,4.7758565
291,nm14341643,Meijie Song,\N,\N,actress,"tt11137848,tt23576310",31.726686,-55.004967
292,nm5668726,Roberto Frana,\N,\N,actor,tt2908512,-9.854533,53.34325
293,nm6795131,David Clark,\N,\N,camera_department,tt3489184,-46.677525,-21.478815
294,nm5136787,Mary Ripple Koch,\N,\N,"production_manager,miscellaneous","tt2241032,tt3104658",-8.919893,-3.5386343
295,nm9991203,Marielle Hjalmarsson,\N,\N,actress,tt8737938,32.105152,32.604572
296,nm10420308,Matt Grapenthien,\N,\N,,tt7739982,-59.944904,0.75987256
297,nm7993662,Ben Fenton,\N,\N,music_department,tt5515088,-38.869686,-22.320791
298,nm1621571,Beau Davidson,\N,\N,"actor,composer,casting_department","tt11540272,tt1592154,tt14277840,tt0058796",19.119743,-51.96
299,nm9210429,Domingo Del Pilar,\N,\N,producer,"tt7267328,tt13834630,tt13834574",0.9190466,74.678276
300,nm6994578,Cheng-Yee Choe,\N,\N,"director,producer",tt4289430,43.949867,-60.44663
301,nm2817019,Gerardo Villegas,\N,\N,"editor,director,cinematographer","tt2197945,tt8391326,tt1132476",-13.116855,65.77193
302,nm14822615,Gabriel Gonzalez,\N,\N,producer,tt22014400,-26.33864,66.554855
303,nm1486991,Jane's Addiction,\N,\N,"soundtrack,music_department,actor","tt0405336,tt0110632,tt0187078,tt0257076",-18.489399,-20.364853
304,nm14797705,Vinit Lalan,\N,\N,visual_effects,tt12844910,55.72305,-18.031784
305,nm1813834,Phoebe Vidler,\N,\N,actress,tt0318904,-10.880075,0.8321127
306,nm4345592,Philana Denise,\N,\N,actress,tt1851834,-18.513975,55.126076
307,nm11875279,Yang Rui,\N,\N,actor,tt10322726,33.517498,-54.68496
308,nm4513989,Rodrigo Tornero,\N,\N,,tt1957895,7.9012465,84.58112
309,nm10255615,Jeff Milner,\N,\N,sound_department,tt8680700,-64.43233,-21.575928
310,nm9284221,Marielle Huey,\N,\N,"producer,director,miscellaneous","tt0765425,tt15191350,tt8285922,tt1643266",17.936779,5.833617
311,nm13648353,David Mulonas,\N,\N,,\N,-41.752228,6.218564
312,nm5141947,Sally Culp,\N,\N,actress,tt2239890,30.723162,-9.664892
313,nm0974206,Daniel Brown,\N,\N,transportation_department,"tt0864761,tt0280707,tt1506999,tt9214832",-36.066914,-5.6825023
314,nm2564470,Isabelle Debraye,\N,\N,"editor,director,writer","tt1833735,tt0971178,tt6023748,tt5356260",12.06868,39.25308
315,nm2272495,Paulo Limiti,\N,\N,producer,tt0801349,15.841333,68.99124
316,nm15060916,Matthew Ohnmeiss,\N,\N,sound_department,tt28223621,-49.04854,-7.59248
317,nm15094392,Adam Bednar,\N,\N,actor,tt10788058,-54.116817,2.5748723
318,nm5190004,Toni Torres,\N,\N,producer,tt2306798,13.376846,-31.090961
