,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,completeName,t-SNE Component 1,t-SNE Component 2
7598,nm7057221,Ryan,\N,\N,stunts,tt2106361,Melony Ryan,51.510326,-34.236404
7599,nm8696461,Dalton,\N,\N,,"tt8577598,tt0245633,tt0302179,tt1366306",Jackie Dalton,42.38459,-29.85938
7600,nm1248479,Kaur,\N,\N,,tt0329604,Jasbinder Kaur Aujla,-43.208134,28.09381
7601,nm3187998,Tsopanelis,\N,\N,music_department,tt0225917,Dimitris Tsopanelis,-29.990137,49.63435
7602,nm13529138,Sangiao,\N,\N,composer,\N,Ricardo Sangiao,-56.515766,33.729713
7603,nm4658833,Davis,\N,\N,miscellaneous,"tt1523939,tt1414382,tt0964517,tt2996648",Jeremy Davis,51.091087,-85.01591
7604,nm10988616,Ganaway,\N,\N,,\N,Candice Ganaway,15.401113,-12.85587
7605,nm10929283,Mevada,\N,\N,actor,tt10827040,Sauvaji Mevada,-78.91492,32.261665
7606,nm0735856,Rodríguez,\N,\N,miscellaneous,"tt0290520,tt0237262,tt0281338,tt0281054",Gerardo Rodríguez,-28.607067,-69.14861
7607,nm9661159,Dammers,\N,\N,,tt8002250,Sage Dammers,-22.991762,-16.507313
7608,nm14641692,Alessandro,\N,\N,art_department,tt26903181,Mercogliano Alessandro,-43.801582,-35.435505
7609,nm12339440,Phan,\N,\N,actor,tt4578098,Khuong Phan,4.6430197,46.803043
7610,nm10321502,Perez,\N,\N,actress,tt9426676,Selena Perez,-32.481915,-67.53324
7611,nm10412744,De,\N,\N,actor,tt1598908,Vittorio De Cesaris,-2.6933937,70.109535
7612,nm6645322,Mellor,\N,\N,miscellaneous,tt3057748,Jack Mellor,-12.957788,-20.817467
7613,nm9013990,Blaha,\N,\N,,\N,Greg Blaha,-22.146177,37.190388
7614,nm3503515,Vartzioti,\N,\N,miscellaneous,tt1018835,Eirini Vartzioti,-67.909935,-23.74162
