,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,completeName,UMAP Component 1,UMAP Component 2
8519,nm13221209,Marín,\N,\N,actress,tt0326860,Elsa Marín,-11.463174,-5.4774213
8520,nm7016897,Chapman,\N,\N,actress,tt3857092,Dinah Chapman,-17.427614,2.9512272
8521,nm5053196,Horbaczewski,\N,\N,producer,"tt2201221,tt0830851,tt4786132,tt4000870",Nick Horbaczewski,-13.080399,1.768936
8522,nm8341069,Persaud,\N,\N,"writer,cinematographer,camera_department","tt5916820,tt8333384,tt10455516,tt11465272",Vashti Persaud,0.4426386,4.5743175
8523,nm10957692,Szesni,\N,\N,actor,"tt10858752,tt10351490",Mario Szesni,-4.4883657,-0.5991562
8524,nm3238985,Arnott,\N,\N,"sound_department,actor","tt1470747,tt1948107,tt3252636,tt5511046",Robin Arnott,-15.489276,4.5402417
8525,nm13332939,Merikoski,\N,\N,,tt17373678,Tuuli Merikoski,-3.621542,-0.7777018
8526,nm14238569,Sia-Lucente,\N,\N,,\N,Claudine Sia-Lucente,-3.8945954,-1.0097444
8527,nm13627458,Darwish,\N,\N,actor,tt19888550,Mamdouh Darwish,-1.4662079,5.3559694
8528,nm0506509,Levy,\N,\N,"editor,sound_department","tt0151500,tt0129296,tt0204454",Leon Levy,-12.4793415,3.515921
8529,nm11657399,Paula,\N,\N,art_department,tt12445382,María Paula Caia Zotes,-9.3109045,1.6915941
8530,nm4047015,Di,1978,\N,"actor,producer,director","tt0934814,tt4004458,tt1586680,tt4301994",Thierre Di Castro Garrito,-12.716953,-9.8493595
8531,nm11788614,Taker,\N,\N,actor,tt12825324,Diego Taker,-16.302538,2.443605
8532,nm14193160,Isabel,\N,\N,actress,tt0472642,Ana Isabel Miranda,-9.402999,1.5471432
8533,nm11816723,Kimber,\N,\N,actress,tt12896492,Sarah Kimber,-15.328961,2.3313541
8534,nm9711258,Lynch,\N,\N,make_up_department,tt7552588,Jakki Lynch,-15.131752,1.1267264
8535,nm3860103,Milburn,\N,\N,actor,tt1629312,Mollie Milburn,-16.652245,2.7842293
8536,nm7974651,Colantoni,\N,\N,art_department,tt0073734,Luigi Colantoni,-10.972471,-1.2938619
8537,nm12119527,Gaffney,\N,\N,actress,tt4864850,Carolyn Gaffney,-16.63639,2.4331596
8538,nm10988728,,\N,\N,actress,tt10810326,Natalie,20.214378,2.8658063
8539,nm8006560,Wertheimer,\N,\N,"soundtrack,music_department","tt2048708,tt1411956",Benjy Wertheimer,-12.69937,2.593076
8540,nm4059095,Frumkin,\N,\N,"cinematographer,miscellaneous","tt1719597,tt1760391",Mark Frumkin,-12.70881,2.8079963
8541,nm10260667,Münch,1941,\N,,"tt1308439,tt0772564",Paul Münch,-11.455967,2.0050585
8542,nm7310157,Kpando,\N,\N,,tt2374837,Obi Kpando,-4.093873,-1.3078946
8543,nm2251861,Olsina,\N,\N,"production_manager,producer,miscellaneous","tt1556698,tt0764959,tt5046564,tt1288446",Sandra Olsina,-3.8268332,-1.2845541
8544,nm3185627,Mullaney,1953,\N,,"tt0407424,tt1645023,tt0065323,tt0407423",Mark Mullaney,-14.767967,1.5281197
8545,nm13575102,Irimus,\N,\N,,\N,Vlad Irimus,-3.681101,-0.4555318
8546,nm9282609,Kauss,\N,\N,,\N,Dan Kauss,-12.956667,1.7568294
8547,nm7688729,Plessner,\N,\N,"director,writer,cinematographer",tt5153340,Dustin Plessner,-12.723884,2.4385543
8548,nm1920188,,\N,\N,"actor,editor","tt3004006,tt0460351",Salomón,19.99705,2.6223342
8549,nm2272069,Armstrong,\N,\N,actor,tt0163159,C.R. Armstrong,-15.214047,3.3221364
8550,nm6540348,Rosset,\N,\N,writer,tt3774062,Gesenn Rosset,-10.861782,0.6720195
8551,nm4184001,Roberson,\N,\N,"soundtrack,actor","tt1020929,tt3746412,tt0472023",Kevin Roberson,-16.233105,1.573211
8552,nm4260099,Smith,\N,\N,"camera_department,producer","tt1814901,tt15765846",Brodee Smith,-21.025139,-3.8780181
8553,nm4268234,Olson,\N,\N,miscellaneous,"tt0086811,tt0085056",Christopher Olson,-11.694081,3.647971
8554,nm5763504,Castell,\N,\N,"production_manager,miscellaneous,producer","tt9389048,tt0318220",Kelly Castell,-13.278118,-4.8120284
